Index,Provenance,22/4/04,29/04/04,06/05/04,13/05/04
143,AUSTRIA Hinterstoder,2,4,5,7
144,FRANCE Sud Massif,1,3,5,7
145,FRANCE Sud Massif,2,4,5,7
146,FRANCE Sud Massif,2,3,5,7
147,FRANCE Sud Massif,1,1,2,5
148,FRANCE Sud Massif,1,1,3,5
149,FRANCE Sud Massif,1,2,2,4
150,South Downs  Q.E. (Control),1,5,6,7
151,South Downs  Q.E. (Control),2,5,6,7
152,South Downs  Q.E. (Control),1,2,4,6
153,South Downs  Q.E. (Control),1,1,2,4
154,South Downs  Q.E. (Control),1,2,3,6
155,South Downs  Q.E. (Control),1,1,2,6
156,POLAND Bilowo 115/116,1,3,5,7
157,POLAND Bilowo 115/116,1,2,3,6
158,POLAND Bilowo 115/116,1,2,3,5
159,POLAND Bilowo 115/116,3,6,7,7
160,POLAND Bilowo 115/116,1,3,5,7
161,POLAND Bilowo 115/116,2,2,3,6
162,CZECH Nizbor,1,4,6,7
163,CZECH Nizbor,1,3,5,6
164,CZECH Nizbor,2,5,6,7
165,CZECH Nizbor,1,6,7,7
166,CZECH Nizbor,1,3,5,7
167,CZECH Nizbor,2,3,5,7
168,FRANCE Pyrenees Or,2,5,6,7
169,FRANCE Pyrenees Or,2,3,5,7
170,FRANCE Pyrenees Or,1,3,5,7
171,FRANCE Pyrenees Or,2,3,5,7
172,FRANCE Pyrenees Or,1,3,5,7
173,FRANCE Pyrenees Or,2,4,6,7
174,SWEDEN Torup,1,2,2,5
175,SWEDEN Torup,1,2,3,6
176,SWEDEN Torup,1,1,1,3
177,SWEDEN Torup,1,3,5,6
178,SWEDEN Torup,1,2,3,6
179,SWEDEN Torup,1,2,3,6
180,GERMANY Urach,2,3,5,7
181,GERMANY Urach,1,2,3,5
182,GERMANY Urach,1,2,3,6
183,GERMANY Urach,1,1,2,4
184,GERMANY Urach,1,3,4,6
185,GERMANY Urach,1,2,2,4
186,POLAND Bilowo 115/116,1,2,4,6
187,POLAND Bilowo 115/116,1,4,6,7
188,POLAND Bilowo 115/116,1,2,3,6
189,POLAND Bilowo 115/116,2,3,6,7
190,POLAND Bilowo 115/116,1,3,5,7
191,POLAND Bilowo 115/116,1,2,2,5
192,FRANCE Perche,1,3,5,7
193,FRANCE Perche,1,2,5,7
194,FRANCE Perche,1,2,3,5
195,FRANCE Perche,1,1,3,6
196,FRANCE Perche,1,3,4,6
197,FRANCE Perche,1,1,1,4
198,SLOVENIA Postojna Masun,1,3,5,7
199,SLOVENIA Postojna Masun,2,6,7,7
200,SLOVENIA Postojna Masun,1,2,4,6
201,SLOVENIA Postojna Masun,2,5,7,7
202,SLOVENIA Postojna Masun,1,3,5,7
203,SLOVENIA Postojna Masun,1,3,4,6
204,South Downs  Q.E. (Control),1,2,4,6
205,South Downs  Q.E. (Control),1,1,3,5
206,South Downs  Q.E. (Control),1,3,5,7
207,South Downs  Q.E. (Control),1,2,3,6
208,South Downs  Q.E. (Control),1,2,2,5
209,South Downs  Q.E. (Control),1,1,4,5
210,"GB Lowther Estate, Cumbria",1,2,3,6
211,"GB Lowther Estate, Cumbria",1,2,4,6
212,"GB Lowther Estate, Cumbria",1,3,6,7
213,"GB Lowther Estate, Cumbria",1,2,3,5
214,"GB Lowther Estate, Cumbria",1,3,5,7
215,"GB Lowther Estate, Cumbria",2,4,6,7
216,FRANCE Bretagne,2,5,6,7
217,FRANCE Bretagne,1,3,5,6
218,FRANCE Bretagne,1,2,5,6
219,FRANCE Bretagne,1,2,4,7
220,FRANCE Bretagne,1,1,1,3
221,FRANCE Bretagne,1,3,5,7
222,FRANCE Pyrenees Or,2,4,6,7
223,FRANCE Pyrenees Or,1,3,5,7
224,FRANCE Pyrenees Or,2,5,7,7
225,FRANCE Pyrenees Or,1,1,3,5
226,FRANCE Pyrenees Or,1,3,5,7
227,FRANCE Pyrenees Or,1,4,6,7
228,NETHERLANDS Aarnink,1,2,4,6
229,NETHERLANDS Aarnink,1,2,3,5
230,NETHERLANDS Aarnink,1,2,3,6
231,NETHERLANDS Aarnink,1,2,5,7
232,NETHERLANDS Aarnink,1,2,4,6
233,NETHERLANDS Aarnink,1,2,3,5
234,Sonning Common (control),1,2,4,6
235,Sonning Common (control),1,2,4,6
236,Sonning Common (control),1,2,4,5
237,Sonning Common (control),1,1,2,4
238,Sonning Common (control),1,1,2,3
239,Sonning Common (control),1,3,5,6
240,CZECH Nizbor,1,2,4,6
241,CZECH Nizbor,1,3,5,7
242,CZECH Nizbor,1,2,5,7
243,CZECH Nizbor,2,4,6,7
244,CZECH Nizbor,1,2,4,7
245,CZECH Nizbor,2,5,7,7
246,FRANCE Sud Massif,1,2,2,5
247,FRANCE Sud Massif,1,2,5,7
248,FRANCE Sud Massif,1,3,5,6
249,FRANCE Sud Massif,1,3,4,6
250,FRANCE Sud Massif,1,1,2,5
251,FRANCE Sud Massif,1,1,1,3
252,GB Cirencester Park,2,4,6,7
253,GB Cirencester Park,1,5,6,7
254,GB Cirencester Park,2,4,6,7
255,GB Cirencester Park,1,3,6,7
256,GB Cirencester Park,2,3,4,7
257,GB Cirencester Park,1,1,1,4
258,NETHERLANDS Elspeet,1,2,2,5
259,NETHERLANDS Elspeet,1,3,5,6
260,NETHERLANDS Elspeet,1,1,2,5
261,NETHERLANDS Elspeet,1,2,3,6
262,NETHERLANDS Elspeet,1,2,3,5
263,NETHERLANDS Elspeet,1,2,4,6
264,DENMARK Grasten,1,2,4,6
265,DENMARK Grasten,2,2,5,7
266,DENMARK Grasten,2,2,5,7
267,DENMARK Grasten,1,2,2,5
268,DENMARK Grasten,1,2,4,7
